training_id,client_id,certificate_number,training_title,category,duration_hours,start_date,end_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
2,1002,CERT-2026-00002,Web Development Bootcamp 2,Web Development,47,2026-02-08,2026-02-20,COMPLETED,5,3,1,1,0.57,3.4,0.84,1.0,79.9,76.0,48.1,59.9,0,0,2,71.2,C,,,PENDING,0.4156,0
6,1006,CERT-2026-00006,Cloud Bootcamp 6,Cloud,35,2025-12-11,2025-12-20,COMPLETED,9,5,2,2,0.56,4.0,0.82,0.91,62.8,53.6,78.3,67.3,3,1,2,64.1,D,,,PENDING,0.3345,0
7,1007,CERT-2026-00007,Cloud Bootcamp 7,Cloud,70,2026-03-18,2026-04-05,COMPLETED,11,8,1,2,0.76,4.3,0.91,0.98,60.9,53.7,93.7,68.9,10,1,0,67.0,D,,,PENDING,0.4741,0
8,1008,CERT-2026-00008,Cybersecurity Bootcamp 8,Cybersecurity,46,2025-12-02,2025-12-14,COMPLETED,10,7,2,1,0.69,4.3,0.89,0.83,38.5,66.0,66.6,64.7,6,3,0,62.1,D,,,PENDING,0.2356,0
9,1009,CERT-2026-00009,Cloud Bootcamp 9,Cloud,43,2026-03-15,2026-03-26,COMPLETED,2,2,0,0,1.0,4.6,0.92,0.96,60.9,99.6,100.0,76.3,1,0,1,86.7,B,2026-04-11,2027-04-11,ISSUED,0.8286,1
12,1012,CERT-2026-00012,Mobile Bootcamp 12,Mobile,40,2026-03-29,2026-04-08,COMPLETED,9,7,1,1,0.76,3.9,0.93,0.92,66.7,41.9,100.0,39.4,11,4,0,60.2,D,,,PENDING,0.0325,0
14,1014,CERT-2026-00014,Cybersecurity Bootcamp 14,Cybersecurity,53,2025-11-28,2025-12-11,COMPLETED,5,4,0,1,0.77,5.0,1.0,0.94,85.8,98.3,87.7,84.4,5,0,1,92.0,A,2025-12-25,2026-12-25,ISSUED,0.9691,1
15,1015,CERT-2026-00015,Cloud Bootcamp 15,Cloud,60,2025-12-26,2026-01-10,COMPLETED,5,4,1,0,0.73,4.3,1.0,0.92,72.6,82.8,91.0,64.2,11,0,1,80.4,B,2026-01-19,2027-01-19,ISSUED,0.796,1
16,1016,CERT-2026-00016,Web Development Bootcamp 16,Web Development,35,2025-12-23,2026-01-01,COMPLETED,9,7,1,1,0.82,4.3,0.94,1.0,62.4,86.0,66.9,76.6,5,0,2,77.4,C,2026-01-08,2027-01-08,ISSUED,0.8566,1
17,1017,CERT-2026-00017,Cybersecurity Bootcamp 17,Cybersecurity,63,2026-01-03,2026-01-19,COMPLETED,12,5,2,5,0.38,4.3,0.99,0.91,64.0,69.9,98.8,78.5,0,0,2,76.9,C,2026-01-30,2027-01-30,ISSUED,0.8549,1
20,1020,CERT-2026-00020,Cloud Bootcamp 20,Cloud,56,2025-12-12,2025-12-26,COMPLETED,4,4,0,0,0.91,4.8,0.71,0.92,48.0,79.4,51.3,38.3,10,2,0,61.1,D,,,PENDING,0.632,0
