training_id,client_id,certificate_number,training_title,category,duration_hours,training_duration_days,start_date,end_date,cancel_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,performance_index,engagement_index,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
1,1001,CERT-2026-00001,Cybersecurity Bootcamp 1,Cybersecurity,55,14,2025-05-17,2025-05-31,,COMPLETED,8,2,3,3,0.3,3.0,0.75,0.85,56.7,58.7,62.3,62.5,0,2,1,59.0,72.4,60.5,D,,,PENDING,0.1906,0
2,1002,CERT-2026-00002,UI/UX Bootcamp 2,UI/UX,49,12,2025-04-16,2025-04-28,,COMPLETED,7,5,1,1,0.71,4.1,0.92,0.96,77.1,98.5,69.9,78.8,0,0,1,87.2,85.9,86.7,B,2025-05-14,2026-05-14,ISSUED,0.6259,1
3,1003,CERT-2026-00003,Cybersecurity Bootcamp 3,Cybersecurity,50,12,2024-10-05,2024-10-17,,COMPLETED,11,6,2,3,0.55,3.3,0.73,0.86,25.0,31.4,37.2,41.8,0,1,2,32.1,64.3,35.3,F,,,REVOKED,0.0554,0
4,1004,CERT-2026-00004,Data Science Bootcamp 4,Data Science,71,18,2025-09-09,2025-09-17,2025-09-17,CANCELLED,3,2,0,1,0.72,3.9,0.89,0.2,63.6,,52.4,54.5,14,2,1,57.0,75.2,59.0,F,,,REVOKED,0.0,0
5,1005,CERT-2026-00005,Web Development Bootcamp 5,Web Development,57,14,2025-06-28,2025-07-12,,COMPLETED,9,5,2,2,0.51,3.1,1.0,0.96,72.8,74.8,100.0,70.1,0,2,1,73.0,96.8,78.7,C,,,PENDING,0.4053,0
6,1006,CERT-2026-00006,Cloud Bootcamp 6,Cloud,63,16,2025-12-24,2026-01-04,2026-01-04,CANCELLED,7,3,2,2,0.41,4.4,0.87,0.1,58.6,,87.2,54.0,27,2,2,55.4,86.5,61.7,D,,,REVOKED,0.0,0
7,1007,CERT-2026-00007,Web Development Bootcamp 7,Web Development,48,12,2025-11-16,2025-11-28,,COMPLETED,6,3,2,1,0.43,3.4,0.81,0.95,49.9,52.3,49.5,43.9,0,1,1,49.5,72.2,52.5,F,,,REVOKED,0.1272,0
8,1008,CERT-2026-00008,UI/UX Bootcamp 8,UI/UX,34,8,2026-01-29,2026-02-06,,COMPLETED,11,8,1,2,0.75,5.0,1.0,0.87,72.8,78.2,98.0,76.2,0,0,1,76.1,99.3,80.7,B,,,PENDING,0.5625,0
9,1009,CERT-2026-00009,Web Development Bootcamp 9,Web Development,28,7,2025-08-08,2025-08-15,,COMPLETED,4,3,0,1,0.66,4.7,0.99,0.92,81.7,78.7,100.0,81.4,0,1,1,80.3,98.0,84.0,B,2025-08-18,2026-08-18,ISSUED,0.374,1
10,1010,CERT-2026-00010,Web Development Bootcamp 10,Web Development,49,12,2025-05-14,2025-05-26,,COMPLETED,5,4,0,1,0.76,4.5,0.86,0.94,54.4,55.1,63.0,,0,0,3,55.6,80.8,58.8,F,2025-06-14,2026-06-14,ISSUED,0.5501,1
