column,dtype,missing_values,missing_pct,unique_values
training_id,int64,0,0.0,1400
client_id,int64,0,0.0,1400
certificate_number,str,0,0.0,1400
training_title,str,0,0.0,1400
category,str,0,0.0,6
duration_hours,int64,0,0.0,68
start_date,str,0,0.0,233
end_date,str,0,0.0,240
training_status,str,0,0.0,4
review_count,int64,0,0.0,20
approved_review_count,int64,0,0.0,15
rejected_review_count,int64,0,0.0,8
pending_review_count,int64,0,0.0,8
approved_review_ratio,float64,0,0.0,91
avg_review_rating,float64,99,7.07,29
attendance_rate,float64,0,0.0,50
completion_rate,float64,0,0.0,101
assignment_avg,float64,200,14.29,568
exam_score,float64,603,43.07,455
engagement_score,float64,0,0.0,609
practice_quiz_avg,float64,248,17.71,539
days_until_exam,int64,0,0.0,43
missed_sessions,int64,0,0.0,8
prior_certifications,int64,0,0.0,9
certificate_score,float64,0,0.0,505
grade,str,0,0.0,5
issue_date,str,999,71.36,166
expiry_date,str,999,71.36,166
certificate_status,str,0,0.0,3
issue_probability,float64,0,0.0,753
is_issued,int64,0,0.0,2
